name,description,author,category,content_url,publish_time,modified_time,image,status
Vụ Ném Bom Nguyên Tử Xuống Hiroshima và Nagasaki,"Vào tháng 8 năm 1945, thế giới chứng kiến một trong những sự kiện đau lòng và gây tranh cãi nhất trong lịch sử nhân loại: vụ ném bom nguyên tử xuống Hiroshima và Nagasaki. Những vụ tấn công này không chỉ gây ra sự tàn phá về mặt vật chất và con người mà còn để lại những hậu quả tâm lý và đạo đức sâu sắc. Dưới đây là một cái nhìn sâu sắc về hai sự kiện bi thảm này và những ảnh hưởng mà chúng đã để lại.",38,1,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Atomic%20bombs.docx?t=2024-03-14T02%3A16%3A14.834Z,2-1-24 7:00 AM,2-1-24 7:00 AM,8,ACTIVE
Trận Liège trong Chiến Tranh Thế Giới Thứ Nhất,"Trận Liège là một trong những trận đánh đầu tiên và quan trọng nhất trong Chiến tranh Thế giới Thứ Nhất, đánh dấu sự bùng nổ của một cuộc xung đột toàn cầu mà mười lăm quốc gia tham gia. Trận đánh này đã mở ra một chương mới trong lịch sử quân sự, với sự đau đớn và sự hy sinh của hàng ngàn lính và dân thường. Dưới đây là một cái nhìn sâu sắc về Trận Liège và tầm ảnh hưởng của nó.",39,2,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Battle%20of%20Liege.docx?t=2024-03-14T02%3A17%3A36.314Z,2-2-24 7:00 AM,2-3-24 7:00 AM,9,ACTIVE
Lịch Sử Canada: Hành Trình của Một Quốc Gia Đa Văn Hóa và Đa Dạng,"Lịch sử Canada là một câu chuyện đầy màu sắc về sự phát triển của một quốc gia đa văn hóa và đa dạng, từ những ngày đầu tiên của các thổ dân bản địa đến hiện đại ngày nay. Với sự kết hợp của nhiều nền văn hóa, ngôn ngữ và tôn giáo, Canada đã trở thành một điểm đến lý tưởng cho người di cư và là một biểu tượng của sự hòa bình và sự đoàn kết. Dưới đây là một cái nhìn sâu sắc và chi tiết về Lịch sử Canada, từ những góc nhìn khác nhau.",38,5,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Canada.docx?t=2024-03-14T02%3A19%3A19.818Z,2-5-24 9:00 AM,2-5-24 9:00 AM,10,ACTIVE
Lịch Sử Nước Anh: Hành Trình của Một Đế Chế và Sức Mạnh Toàn Cầu,"Lịch sử của nước Anh là một câu chuyện hùng vĩ và đầy biến động, đánh dấu bởi sự thăng trầm của một đế chế từ thời kỳ cổ đại cho đến hiện đại ngày nay. Với một nền văn hóa phong phú, sự phát triển của nước Anh đã ảnh hưởng sâu rộng đến toàn thế giới, từ chính trị đến văn hóa và kinh tế. Hãy cùng nhau khám phá hành trình lịch sử của nước Anh qua các giai đoạn quan trọng.",40,4,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/England.docx?t=2024-03-14T02%3A20%3A59.741Z,2-6-24 9:00 AM,2-6-24 9:00 AM,11,ACTIVE
Lịch Sử Pháp: Hành Trình của Một Đế Chế Văn Hóa và Nghệ Thuật,"Lịch sử của Pháp là một bức tranh sặc sỡ về sự thăng trầm, với những phong cách nghệ thuật, văn hóa và chính trị đặc trưng. Từ những ngày đầu của các bộ tộc Gaul và Roman cho đến khi trở thành một quốc gia đa văn hóa và năng động ngày nay, Pháp đã chơi một vai trò quan trọng trong lịch sử thế giới. Hãy cùng nhau đi vào hành trình lịch sử của Pháp qua các giai đoạn quan trọng.",39,4,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/France.docx,2-17-24 6:00 PM,2-17-24 6:00 PM,12,ACTIVE
Lịch Sử Nước Đức: Hành Trình Đầy Biến Động và Sự Tiến Bộ của Một Quốc Gia,"Lịch sử của nước Đức là một trong những câu chuyện phong phú và phức tạp nhất trong lịch sử thế giới, đánh dấu bởi những thăng trầm, cuộc xung đột và sự tiến bộ vượt bậc. Từ thời kỳ cổ đại đến ngày nay, Đức đã trải qua nhiều giai đoạn khác nhau, từ việc là một liên minh các bộ tộc và vương quốc nhỏ cho đến khi trở thành một trong những cường quốc hàng đầu thế giới. Hãy cùng đi vào hành trình lịch sử của nước Đức và khám phá những diễn biến quan trọng của nó.",38,4,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Germany.docx?t=2024-03-14T02%3A24%3A19.216Z,2-28-24 3:00 PM,2-28-24 3:00 PM,13,ACTIVE
Chiến Tranh Triều Tiên,"Chiến Tranh Triều Tiên là một trong những cuộc xung đột chính trị và quân sự quan trọng nhất trong lịch sử hiện đại, đã có ảnh hưởng sâu rộng đến cả Bắc và Nam Triều Tiên, cũng như các quốc gia vùng Á Thái Bình Dương. Với sự tham gia của các lực lượng quân sự và chính trị hàng loạt, cuộc chiến này đã gây ra những hậu quả nghiêm trọng đối với dân cư và khu vực xung quanh. Dưới đây là một cái nhìn sâu sắc và chi tiết về Chiến Tranh Triều Tiên và tầm ảnh hưởng lớn lao của nó.",40,3,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Korea%20War.docx?t=2024-03-14T02%3A25%3A59.963Z,3-5-24 9:00 AM,3-5-24 9:00 AM,14,ACTIVE
Trận Vòng Cung Kursk,"Trận Vòng Cung Kursk là một trong những trận đánh quyết định và phức tạp nhất trong lịch sử quân sự, chứng kiến sự đấu tranh mênh mang giữa lực lượng Đồng Minh và quân đội Đức Quốc Xã trong Chiến tranh Thế giới Thứ Hai. Với quy mô khổng lồ và sự đổ bộ của hàng triệu quân lính, trận đánh này đã chứng kiến những cuộc đụng độ ác liệt, những hậu quả tàn khốc và những hành động anh dũng không tưởng. Dưới đây là một cái nhìn sâu sắc về Trận Vòng Cung Kursk và tầm ảnh hưởng lớn lao của nó.",39,1,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Kursk.docx?t=2024-03-14T02%3A27%3A47.415Z,3-10-24 8:00 AM,3-10-24 8:00 AM,15,ACTIVE
Trận Leningrad: Nỗi Đau và Sự Chiến Đấu Trong Cuộc Chiến Thế Giới Thứ Hai,"Trận Leningrad là một trong những trận đánh đau lòng và quyết định nhất trong lịch sử của Liên Xô và của thế giới, đặc biệt trong Chiến tranh Thế giới Thứ Hai. Từ ngày 8 tháng 9 năm 1941 đến ngày 27 tháng 1 năm 1944, thành phố Leningrad (nay là Saint Petersburg) đã chịu một cuộc bao vây kéo dài 872 ngày từ quân đội Đức, gây ra một bi kịch không thể tả được cho người dân và hàng triệu sinh mạng đã mất trong cuộc chiến này. Dưới đây là một cái nhìn sâu sắc và tường thuật chi tiết về Trận Leningrad và những tác động lớn lao của nó.",40,1,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Leningrad.docx?t=2024-03-14T02%3A28%3A46.996Z,3-15-24 11:00 AM,3-15-24 11:00 AM,16,ACTIVE
Trận Sông Marne Lần Thứ Nhất,"Trận Sông Marne lần thứ nhất là một trong những sự kiện quyết định nhất trong Chiến tranh Thế giới Thứ Nhất, đánh dấu sự khởi đầu của một chuỗi các sự kiện quan trọng và ảnh hưởng đến diễn biến của cuộc chiến. Với sự đối mặt trực tiếp giữa quân đội Đồng Minh và quân đội Đức, trận đánh này đã chứng minh sức mạnh và quyết tâm của cả hai phe. Dưới đây là một cái nhìn sâu sắc và chi tiết về Trận Sông Marne lần thứ nhất và tầm ảnh hưởng của nó.",38,2,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Marne%20River.docx?t=2024-03-14T02%3A29%3A56.291Z,3-23-24 9:08 AM,3-23-24 9:08 AM,17,ACTIVE
Trận Trân Châu Cảng ,"Trận Trân Châu Cảng, còn được gọi là Trận Pearl Harbor, là một trong những bi kịch lớn nhất trong lịch sử quân sự thế giới. Đây là sự kiện mà nước Mỹ chịu tổn thất lớn và đồng thời đánh dấu sự tham gia chính thức của họ vào Chiến tranh Thế giới II. Trận Trân Châu Cảng không chỉ là một trận đánh lớn mà còn là một điểm phát xít đầy máu lửa và đau thương mà Mỹ sẽ không bao giờ quên.",41,1,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Pearl%20Harbor.docx?t=2024-03-14T02%3A31%3A55.867Z,3-31-24 3:09 PM,3-31-24 3:09 PM,18,BANNED
Lịch Sử Nước Nga: Hành Trình của Một Đế Quốc và Quốc Gia Lớn Nhất Thế Giới,"Lịch sử của Nga là một trong những câu chuyện phong phú và hùng vĩ nhất trong lịch sử thế giới, đánh dấu bởi sự thăng trầm của một đế chế từ thời kỳ cổ đại cho đến hiện đại ngày nay. Từ những ngày đầu tiên của các thổ dân bản địa đến vị thế của một quốc gia lớn nhất thế giới, Nga đã trải qua nhiều giai đoạn khác nhau, từ thời kỳ các quốc gia Slavic đầu tiên cho đến khi trở thành một đế chế mạnh mẽ ở khu vực Đông Âu. Hãy cùng nhau đi vào hành trình lịch sử của Nga qua các giai đoạn quan trọng.",39,4,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Russia.docx?t=2024-03-14T02%3A33%3A03.204Z,4-2-24 8:09 AM,4-2-24 8:09 AM,19,ACTIVE
Chiến Tranh Liên Xô tại Afghanistan,"Chiến tranh Liên Xô tại Afghanistan là một trong những cuộc xung đột lớn nhất trong lịch sử hiện đại, chứng kiến sự đấu tranh của Liên Xô và quân đội Afghan trong một cuộc chiến kéo dài hàng thập kỷ. Với sự tham gia của các lực lượng quân sự và tình báo hàng loạt, chiến tranh này đã gây ra những hậu quả nghiêm trọng đối với dân cư và khu vực xung quanh, vượt xa sự dự kiến của mọi bên. Dưới đây là một cái nhìn sâu sắc và chi tiết về Chiến tranh Liên Xô tại Afghanistan và những hậu quả lớn lao của nó.",40,3,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Soviet%20Afghan%20War.docx?t=2024-03-14T02%3A34%3A44.077Z,4-5-24 9:06 AM,4-5-24 9:06 AM,20,ACTIVE
Trận Chiến Stalingrad,"Trận chiến Stalingrad không chỉ là một trong những trận đánh quyết định nhất trong Chiến tranh Thế giới II, mà còn là một bi kịch đầy máu và lửa, nơi mà sự sống còn và sự hy sinh đều được nâng lên tới đỉnh cao. Vào mùa đông của năm 1942 đến mùa xuân của năm 1943, Stalingrad đã chứng kiến một cuộc đấu tranh khốc liệt giữa các lực lượng Đồng Minh và quân đội Đức Quốc Xã, cuộc chiến này đã thay đổi bước chuyển của cuộc chiến.",42,1,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Stalingrad.docx?t=2024-03-14T02%3A35%3A44.399Z,4-9-24 7:03 AM,4-12-24 7:06 AM,21,ACTIVE
Lịch Sử Hoa Kỳ,"Lịch sử Hoa Kỳ là một câu chuyện phong phú về sự thành công, sự thất bại, và những nỗ lực không ngừng nghỉ để xây dựng và duy trì một quốc gia dựa trên các nguyên tắc tự do, dân chủ và tiến bộ. Từ những ngày đầu tiên của các thuộc địa đến vị thế của một cường quốc toàn cầu, lịch sử Hoa Kỳ đã làm nền tảng cho sự phát triển và tiến bộ của thế giới hiện đại. Dưới đây là một cái nhìn sâu sắc và chi tiết về Lịch sử Hoa Kỳ, từ những góc nhìn khác nhau.",38,5,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/USA.docx?t=2024-03-14T02%3A37%3A45.981Z,4-13-24 9:05 PM,4-13-24 9:05 PM,22,ACTIVE
Trận Verdun: Bi kịch và Sự Hy sinh Trong Chiến Tranh Thế Giới Thứ Nhất,"Trận Verdun không chỉ là một cuộc đánh trong Chiến tranh Thế giới Thứ Nhất mà còn là một biểu tượng của sự đấu tranh, hy sinh và sự kiên nhẫn của con người trong một thời kỳ bùng nổ của cuộc chiến này. Với sự kinh ngạc của địa hình đá ngầm và với sự quyết tâm không khuất phục của cả hai bên, Verdun đã trở thành một tượng đài của những nỗ lực và sự hy sinh vì tự do và quốc gia.",38,2,https://stdhckynjwfydcbwzgnm.supabase.co/storage/v1/object/public/docx/Verdun.docx?t=2024-03-14T02%3A38%3A43.210Z,4-19-24 8:06 AM,4-19-24 8:06 AM,23,ACTIVE
